player.givenName,player.surname,team.name,goals,behinds,goalAccuracy,goalAssists,disposals,kicks,handballs,contestedPossessions,uncontestedPossessions,totalPossessions,tackles,intercepts,rebound50s,disposalEfficiency,clangers,metresGained,scoreInvolvements,bounces
Kieren,Briggs,GWS GIANTS,0,0,0.0,0,24,11,13,16,7,23,7,1,2,45.8,4,285,2,0
Callum M.,Brown,GWS GIANTS,1,1,33.3,2,12,8,4,3,9,12,3,0,0,58.3,3,206,5,1
Jack,Buckley,GWS GIANTS,0,0,0.0,0,14,8,6,6,7,13,3,10,1,78.6,2,217,2,0
Aaron,Cadman,GWS GIANTS,0,0,0.0,0,3,1,2,2,1,3,2,0,0,100.0,1,28,1,0
Finn,Callaghan,GWS GIANTS,0,0,0.0,0,22,8,14,5,16,21,3,1,2,72.7,5,336,7,1
Stephen,Coniglio,GWS GIANTS,0,1,0.0,0,34,18,16,12,22,34,9,2,2,73.5,2,449,7,0
Isaac,Cumming,GWS GIANTS,0,0,0.0,1,14,8,6,1,13,14,2,0,1,92.9,0,310,4,0
Brent,Daniels,GWS GIANTS,1,1,33.3,1,17,10,7,6,11,17,0,1,0,70.6,5,325,7,0
Toby,Greene,GWS GIANTS,5,2,62.5,1,19,15,4,7,12,19,3,1,0,57.9,4,467,10,0
Nick,Haynes,GWS GIANTS,0,0,0.0,0,7,5,2,3,4,7,0,1,1,71.4,1,120,1,0
Harry,Himmelberg,GWS GIANTS,0,0,0.0,0,21,13,8,5,14,19,1,6,4,85.7,4,326,5,0
Connor,Idun,GWS GIANTS,0,0,0.0,0,17,6,11,6,12,18,4,6,7,94.1,1,216,5,0
Lachlan,Keeffe,GWS GIANTS,0,0,0.0,1,8,4,4,4,4,8,3,1,0,62.5,2,113,2,0
Josh,Kelly,GWS GIANTS,1,0,50.0,0,25,10,15,11,14,25,14,0,0,56.0,7,301,5,0
Daniel,Lloyd,GWS GIANTS,0,0,0.0,0,11,4,7,5,7,12,3,1,1,72.7,1,131,3,0
Harry,Perryman,GWS GIANTS,0,0,0.0,0,19,14,5,6,14,20,3,7,2,47.4,8,254,1,0
Jake,Riccardi,GWS GIANTS,3,1,60.0,1,9,8,1,4,6,10,3,1,0,55.6,4,204,6,0
Sam,Taylor,GWS GIANTS,0,0,0.0,0,18,10,8,9,7,16,2,15,3,94.4,1,130,5,0
Callan,Ward,GWS GIANTS,0,1,0.0,0,22,9,13,10,13,23,5,4,3,68.2,1,182,6,0
Lachie,Whitfield,GWS GIANTS,0,0,0.0,1,36,21,15,9,20,29,4,8,9,80.6,5,469,8,2
